Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,,,,Win/Loss
P,Novak Djokovic (13540294),Novak Djokovic,13540294,P,10700,Shapovalov@Djokovic 10/09/2019 06:30AM ET,Djokovic,68.57,-905,0,-910,,-900,,0.900497512437811,1.03383084577114,1
P,Anastasia Pavlyuchenkova (13540306),Anastasia Pavlyuchenkova,13540306,P,10100,Haas@Pavlyuchenkova 10/09/2019 10:00AM ET,Pavlyuchenkova,43.44,-587,0,-560,-650,-550,,0.854439592430859,1.04975209243086,1
P,Kiki Bertens (13540308),Kiki Bertens,13540308,P,9800,Doi@Bertens 10/09/2019 12:30PM ET,Bertens,56.12,-500,0,-500,,-500,,0.833333333333333,1.04166666666667,1
P,Dominic Thiem (13540296),Dominic Thiem,13540296,P,9300,Thiem@Carreno-Busta 10/09/2019 07:50AM ET,Thiem,57.29,-228,0,-235,,-220,,0.695121951219512,,1
P,Ekaterina Alexandrova (13540299),Ekaterina Alexandrova,13540299,P,8900,Pliskova@Alexandrova 10/09/2019 06:00AM ET,Alexandrova,46.41,-230,0,-230,,-230,,0.696969696969697,,1
P,Jelena Ostapenko (13540300),Jelena Ostapenko,13540300,P,8700,Ostapenko@Korpatsch 10/09/2019 06:00AM ET,Ostapenko,31.8,-220,0,-220,,-220,,0.6875,,1
P,Julia Goerges (13540310),Julia Goerges,13540310,P,8500,Goerges@Petkovic 10/09/2019 01:45PM ET,Goerges,50.34,-200,0,-210,,-190,,0.666666666666667,,0
P,Elena Rybakina (13540304),Elena Rybakina,13540304,P,8300,Friedsam@Rybakina 10/09/2019 08:30AM ET,Rybakina,56.23,-155,0,,-160,-150,,0.607843137254902,,1
P,Kateryna Kozlova (13540302),Kateryna Kozlova,13540302,P,7900,Gauff@Kozlova 10/09/2019 07:15AM ET,Kozlova,44.29,-138,0,-141,,-135,,0.579831932773109,,0
P,Cori Gauff (13540303),Cori Gauff,13540303,P,7300,Gauff@Kozlova 10/09/2019 07:15AM ET,Gauff,43.08,115,0,114,,115,,0.465116279069767,,1
P,Anna-Lena Friedsam (13540305),Anna-Lena Friedsam,13540305,P,6800,Friedsam@Rybakina 10/09/2019 08:30AM ET,Friedsam,42.06,124,0,,118,130,,0.446428571428571,,0
P,Andrea Petkovic (13540311),Andrea Petkovic,13540311,P,6400,Goerges@Petkovic 10/09/2019 01:45PM ET,Petkovic,41.18,165,0,165,,165,,0.377358490566038,,1
P,Tamara Korpatsch (13540301),Tamara Korpatsch,13540301,P,6200,Ostapenko@Korpatsch 10/09/2019 06:00AM ET,Korpatsch,41.06,175,0,170,,180,,0.363636363636364,,0
P,Kristyna Pliskova (13540298),Kristyna Pliskova,13540298,P,6100,Pliskova@Alexandrova 10/09/2019 06:00AM ET,Pliskova,44.88,185,0,180,,190,,0.350877192982456,,0
P,Pablo Carreno-Busta (13540297),Pablo Carreno-Busta,13540297,P,5900,Thiem@Carreno-Busta 10/09/2019 07:50AM ET,Carreno-Busta,52.49,183,0,185,,180,,0.353356890459364,,0
P,Misaki Doi (13540309),Misaki Doi,13540309,P,5200,Doi@Bertens 10/09/2019 12:30PM ET,Doi,38.43,380,0,360,,400,,0.208333333333333,,0
P,Barbara Haas (13540307),Barbara Haas,13540307,P,4800,Haas@Pavlyuchenkova 10/09/2019 10:00AM ET,Haas,17.15,412,0,410,400,425,,0.1953125,,0
P,Denis Shapovalov (13540295),Denis Shapovalov,13540295,P,4400,Shapovalov@Djokovic 10/09/2019 06:30AM ET,Shapovalov,47.29,650,0,650,,650,,0.133333333333333,,0
